numero_seguimiento,estado,fecha_estimada,ciudad_destino,transportadora,link
EM-1001,Entregado,2026-03-28,Bogota,EnviosVerdes,https://tracking.ecomarket.com/EM-1001
EM-1002,En transito,2026-04-04,Medellin,EnviosVerdes,https://tracking.ecomarket.com/EM-1002
EM-1003,Preparando envio,2026-04-06,Cali,QuickRoute,https://tracking.ecomarket.com/EM-1003
EM-1004,Retrasado,2026-04-08,Barranquilla,QuickRoute,https://tracking.ecomarket.com/EM-1004
EM-1005,Cancelado,No aplica,Bucaramanga,EnviosVerdes,https://tracking.ecomarket.com/EM-1005
EM-1006,Entregado,2026-03-30,Pereira,QuickRoute,https://tracking.ecomarket.com/EM-1006
EM-1007,En transito,2026-04-05,Cartagena,EnviosVerdes,https://tracking.ecomarket.com/EM-1007
EM-1008,Preparando envio,2026-04-07,Manizales,QuickRoute,https://tracking.ecomarket.com/EM-1008
EM-1009,Retrasado,2026-04-09,Ibague,EnviosVerdes,https://tracking.ecomarket.com/EM-1009
EM-1010,Entregado,2026-03-27,Medellin,QuickRoute,https://tracking.ecomarket.com/EM-1010
